Year,PropertyType,ZipCode,TotalYearlyEnergyUsage
2015,Medical Office,02129,242065893.5
2015,Medical Office,02135,2715572.7
2015,Medical Office,02215,182123538.9
2015,Mixed Use Property,02109,45211787.2
2015,Mixed Use Property,02111,143001613.8
2015,Mixed Use Property,02115,346031.4
2015,Mixed Use Property,02116,139611845.29999998
2015,Mixed Use Property,02120,28201003.8
2015,Mixed Use Property,02130,8918255.1
2015,Mixed Use Property,02163,17612827.1
2015,Mixed Use Property,02210,63590237.0
2015,Mixed Use Property,02215,45199526.4
2015,Movie Theater,02111,10906867.5
2015,Multifamily Housing,,1166923990.4580002
2015,Multifamily Housing,01234,11906476.6
2015,Multifamily Housing,02021,18183103.5
2015,Multifamily Housing,02108,44800577.2
2015,Multifamily Housing,02109,52209683.0
2015,Multifamily Housing,02110,124771054.5
2015,Multifamily Housing,02111,1036951164.1999999
2015,Multifamily Housing,02113,9766774.0
2015,Multifamily Housing,02114,274491780.7
2015,Multifamily Housing,02115,277491962.09999996
2015,Multifamily Housing,02116,275259617.59999996
2015,Multifamily Housing,02118,158937507.99999997
2015,Multifamily Housing,02119,120269925.0
2015,Multifamily Housing,02120,136800963.9
2015,Multifamily Housing,02121,147838510.89999998
2015,Multifamily Housing,02122,3212226.1
2015,Multifamily Housing,02124,50189846.400000006
2015,Multifamily Housing,02125,54902768.0
2015,Multifamily Housing,02126,28113481.1
2015,Multifamily Housing,02127,70903758.2
2015,Multifamily Housing,02128,56232907.4
2015,Multifamily Housing,02129,146622911.9
2015,Multifamily Housing,02130,114904993.4
2015,Multifamily Housing,02131,70061069.0
2015,Multifamily Housing,02132,37345812.099999994
2015,Multifamily Housing,02134,86276942.4
2015,Multifamily Housing,02135,190953917.79999998
2015,Multifamily Housing,02136,58619389.099999994
2015,Multifamily Housing,02139,5664865.8
2015,Multifamily Housing,02176,7152414.7
2015,Multifamily Housing,02199,154136583.7
2015,Multifamily Housing,02210,91072139.9
2015,Multifamily Housing,02215,209496676.0
2015,Multifamily Housing,02446,11945.4
2015,Multifamily Housing,02467,55273675.199999996
2015,Multifamily Housing,02481,5597612.5
2015,Multifamily Housing,21121,5329908.0
2015,Museum,02114,54487598.4
2015,Museum,02115,17586582.799999997
2015,Museum,02215,19677062.3
2015,Non-Refrigerated Warehouse,02118,1415908.1
2015,Non-Refrigerated Warehouse,02125,80257.1
2015,Non-Refrigerated Warehouse,02126,1088109.8
2015,Non-Refrigerated Warehouse,02127,5482552.8
2015,Non-Refrigerated Warehouse,02128,3599642.9
2015,Non-Refrigerated Warehouse,02130,2248944.3
2015,Non-Refrigerated Warehouse,02132,5700500.1
2015,Non-Refrigerated Warehouse,02135,1002954.3
2015,Non-Refrigerated Warehouse,02210,27203216.8
2015,Not Available,02114,59723241.7
2015,Not Available,02115,4908659597.0
2015,Not Available,02116,142806779.7
2015,Not Available,02118,83414.0
2015,Not Available,02119,7201802.5
2015,Not Available,02124,17365592.9
2015,Not Available,02125,7480634.7
2015,Not Available,02127,9915721.9
2015,Not Available,02128,16873155.4
2015,Not Available,02134,
2015,Not Available,02135,
2015,Not Available,02210,24375578.0
2015,Not Available,02215,2414066.3
2015,Not Available,02467,
2015,Office,02026,1403925.4
2015,Office,02108,5920705560.1000023
2015,Office,02109,276485605.1
2015,Office,02110,1095330587.1
2015,Office,02111,248523213.2
2015,Office,02114,113826142.10000001
2015,Office,02115,265951966.59999996
2015,Office,02116,697797503.19999993
2015,Office,02118,42514159.300000004
2015,Office,02119,44779509.699999996
2015,Office,02120,14794420.6
2015,Office,02121,4731624.4
2015,Office,02122,6168802.0
2015,Office,02124,14257824.4
2015,Office,02125,26639473.5
2015,Office,02126,376167.4
2015,Office,02127,4118514.3
2015,Office,02129,111114973.80000001
2015,Office,02131,
2015,Office,02134,16682119.6
2015,Office,02135,50229317.599999994
2015,Office,02136,329350.4
2015,Office,02138,4708115.9
2015,Office,02139,11310601.3
2015,Office,02163,18767202.4
2015,Office,02199,282064359.4
2015,Office,02201,62421146.4
2015,Office,02203,75990371.8
2015,Office,02210,625047994.4
2015,Office,02215,285388668.7
2015,Office,02222,30955602.0
2015,Office,02446,4145351.4000000004
2015,Other,02108,1821550.4
2015,Other,02109,1419704504.0
2015,Other,02110,4065634.6
2015,Other,02111,125486.5
2015,Other,02114,7462429.3
2015,Other,02115,11742388.7
2015,Other,02116,18033122.1
2015,Other,02118,74409831.6
2015,Other,02119,1261187.9
2015,Other,02120,1868003.7
2015,Other,02122,379743.9
2015,Other,02124,9454.7
2015,Other,02125,4663686.0
2015,Other,02126,
2015,Other,02127,7024937.7
2015,Other,02128,1041621.7
2015,Other,02129,459506522.9
2015,Other,02130,7183226.3999999994
2015,Other,02131,1766001.8
2015,Other,02132,237611.7
2015,Other,02134,19067079.0
2015,Other,02135,1008333.1
2015,Other,02136,
